"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
2730,"NCT02882659","Dendritic Killer Cell-based Immunotherapy for Solid Tumors","Active, not recruiting","No Results Available","Colorectal Neoplasms|Hepatocellular Carcinoma|Neoplasm Metastasis","Biological: Dendritic Killer Cell (DKC)","FullHope Biomedical Co., Ltd.|Taipei Veterans General Hospital, Taiwan","Both","20 Years and older   (Adult, Senior)","Phase 1","18","Industry|Other","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2013-07-026B","August 18, 2016","August 2014","December 2017","August 24, 2016","August 2016","No Study Results Posted","null","January 2016","Safety of DKC as assessed by adverse event (AE)|Safety of DKC as assessed by serious adverse event (SAE)|Safety of DKC as assessed by dose-limiting toxicity (DLT)|Safety of DKC as assessed by combining with concomitant anticancer treatment|Safety of DKC as assessed by laboratory examinations|Efficacy of DKC as assessed by tumor specific T cell response|Efficacy of DKC as assessed by change in quality of life","https://ClinicalTrials.gov/show/NCT02882659"
2731,"NCT00419627","Proteomic Analysis of HLA Complex in Solid Cancers: Breast, Ovary, Colon, Rectum, Stomach, and Pancreas","Not yet recruiting","No Results Available","Colorectal Neoplasms|Stomach Neoplasms|Pancreatic Neoplasms|Breast Neoplasms|Ovarian Cancer","","Hillel Yaffe Medical Center|Technion, Israel Institute of Technology","Both","Child, Adult, Senior","","160","Other","Observational","Observational Model: Natural History|Time Perspective: Longitudinal|Time Perspective: Prospective","ProtHYMC","January 5, 2007","February 2007","null","January 5, 2007","January 2007","No Study Results Posted","null","null","","https://ClinicalTrials.gov/show/NCT00419627"
2732,"NCT00156975","Oxaliplatin and Capecitabine Versus Follow-up After Resection of Colorectal Liver Metastases","Active, not recruiting","No Results Available","Colorectal Neoplasms|Liver Metastases","Drug: Capecitabine|Drug: Oxaliplatin","Arbeitsgruppe Lebermetastasen und Tumoren","Both","18 Years and older   (Adult, Senior)","Phase 3","384","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","ADHOC","September 9, 2005","November 2004","null","December 24, 2009","April 2007","No Study Results Posted","null","null","Primary outcomes:|Disease free survival|Secondary outcomes:overall survival,acute- and longtime toxicity of chemotherapy, molecular predictive markers for the risk of relapse and toxicity","https://ClinicalTrials.gov/show/NCT00156975"
2733,"NCT00661154","Avastin/[18-F]-5-fluorouracil PET/CT Imaging Feasibility Project","Completed","No Results Available","Colorectal Neoplasms|Colon Cancer|Rectal Cancer|Anal Cancer","Drug: Bevacizumab","Stanford University|Genentech, Inc.","Both","18 Years and older   (Adult, Senior)","","7","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","GIIMG0001|97291|AVF3679s","April 14, 2008","February 2008","July 2010","August 8, 2012","August 2012","No Study Results Posted","null","July 2009","Determine whether[18F]-5-Fluorouracil PET/CT scanning can demonstrate a difference in [18F]-5-Fluorouracil tumor uptake before and after the administration of Avastin|Determine if [18F]-5-Fluorouracil PET/CT imaging demonstrates that there is a difference in maximal [18F]-5-Fluorouracil tumor uptake that is dependent on the time point of post-Avastin scanning","https://ClinicalTrials.gov/show/NCT00661154"
2734,"NCT02781155","Limiting Chemotherapy Side Effects by Using Moxa","Recruiting","No Results Available","Breast Neoplasms|Colorectal Neoplasms|Genital Neoplasms, Female|Toxicity Due to Chemotherapy","Other: Moxibustion","East and North Hertfordshire NHS Trust|British Acupuncture Council","Both","18 Years to 75 Years   (Adult, Senior)","Phase 1|Phase 2","25","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Supportive Care","RD2015-04","May 6, 2016","February 2016","September 2017","May 19, 2016","May 2016","No Study Results Posted","null","January 2017","Adherence to moxa regimen assessed by Daily Moxa Diary|Blood counts, specifically white blood cells, neutrophils, haemoglobin, and platelets|Variation to planned chemotherapy schedule|Chemotherapy related toxicities|Health related quality of life (HRQOL)|Patient self-management|Safety assessed by all incidents including allergies, burns, and other accidents|Incidents of additional interventions administered as prophylaxis or therapy to maintain or improve blood counts","https://ClinicalTrials.gov/show/NCT02781155"
2735,"NCT02837679","Oncogeriatric Intervention and Follow-up at Home","Recruiting","No Results Available","Neoplasms|Geriatric Assessment|Lung Neoplasms|Colorectal Neoplasms|Head and Neck Neoplasms|Gastrointestinal Neoplasms|Geriatrics|Polypharmacy|Quality of Life","Other: Comprehensive geriatric care","Aarhus University Hospital|Danish Cancer Society|University of Aarhus","Both","70 Years and older   (Senior)","","350","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)|Primary Purpose: Treatment","Onkogeriatri randomiseret","June 27, 2016","January 2016","January 2020","July 15, 2016","July 2016","No Study Results Posted","null","January 2019","Length of hospital stay|Success rate of admittance to initial planned oncological treatment|Quality of life (QoL)|Quality of life|90-day survival|Physical performance, Timed-up-and-go|Physical performance, chair-stand-test|Physical performance, Barthel-100|Physical performance, FAQ-IADL","https://ClinicalTrials.gov/show/NCT02837679"
2736,"NCT00168987","Influence of an Oral Nutritional Supplement Rich in Omega-3 Fatty Acids on Functional State and Quality of Life in Malnourished Patients With Gastroenterological Tumors","Completed","No Results Available","Colorectal Neoplasms|Hepatocellular Carcinoma|Cholangiocarcinoma","Drug: oral nutritional supplement rich in eicosapentanoic acid","Charite University, Berlin, Germany|Pfrimmer Nutricia GmbH, Erlangen , Germany","Both","18 Years and older   (Adult, Senior)","Phase 4","30","Other|Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","EA1/174/05","September 13, 2005","January 2005","June 2007","May 5, 2008","May 2008","No Study Results Posted","null","November 2006","improvement of muscle function (hand grip strength, respiratory muscle function) at two months|improvement of cognitive function at two months|improvement of quality of life at two months|tolerance of the oral nutritional supplement|improvement of nutritional state (body weight, muscle mass, body cell mass, phase angle, serum albumin)","https://ClinicalTrials.gov/show/NCT00168987"
2737,"NCT01700062","Medium Calorie Parenteral Nutrition on Patients With Gastrointestinal Cancer Undergoing Surgery","Completed","No Results Available","Colorectal Neoplasms","Dietary Supplement: Total Parenteral Nutrition (TPN)","Kaohsiung Medical University Chung-Ho Memorial Hospital","Both","18 Years and older   (Adult, Senior)","Phase 4","40","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label","KMUH-IRB-960022","October 2, 2012","April 2007","December 2008","October 2, 2012","October 2012","No Study Results Posted","null","November 2008","biochemistry data; Various inflammation-related cytokines ;|clinical outcome(hospital stay..)","https://ClinicalTrials.gov/show/NCT01700062"
2738,"NCT02073500","Peritoneal Surface Malignancies - Characterization, Models and Treatment Strategies","Recruiting","No Results Available","Pseudomyxoma Peritonei.|Colorectal Carcinoma.|Ovarian Carcinoma.|Mesothelioma.","Other: Observational study.","Oslo University Hospital|The Research Council of Norway","Both","18 Years and older   (Adult, Senior)","","200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PSM_250913","February 17, 2014","September 2009","January 2023","October 14, 2015","October 2015","No Study Results Posted","PSM","January 2017","Overall survival (OS)|Progression-free survival (PFS)","https://ClinicalTrials.gov/show/NCT02073500"
2739,"NCT02484079","Comparative Effectiveness of Hot Versus Cold Snare Polypectomy of Small Colorectal Polyps","Enrolling by invitation","No Results Available","Colonic Polyps|Colorectal Neoplasms|Adenoma","Procedure: Polypectomy","Sorlandet Hospital HF","Both","40 Years to 75 Years   (Adult, Senior)","","800","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Prevention","SorlandetHF","April 24, 2015","August 2015","December 2022","October 29, 2015","October 2015","No Study Results Posted","HOT/COLD","December 2016","Complete resection rate|Complications|Factors explaining the primary outcome","https://ClinicalTrials.gov/show/NCT02484079"
2740,"NCT00603577","Role of Xaliproden on Recovery Rate From Severe Neuropathy in Patients Who Have Completed Adjuvant Chemotherapy With Oxaliplatin Based Regimens","Terminated","No Results Available","Colorectal Neoplasms","Drug: Placebo|Drug: Xaliproden","Sanofi","Both","18 Years and older   (Adult, Senior)","Phase 3","102","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)|Primary Purpose: Treatment","XALIP_C_02090","January 17, 2008","January 2008","November 2009","April 6, 2016","April 2016","No Study Results Posted","XENON","November 2009","Neurological sensory assessment using the National Cancer Institute Common Terminology Criteria for Adverse Event (NCI-CTCAE, Version 3.0)|FACT/GOG NTX-12 subscale|Hematological and biochemical testing|AE graded with NCI-CTCAE (Version 3.0) and coded using Medical Dictionary for Regulatory Activities (MedDRA, version 9.1)","https://ClinicalTrials.gov/show/NCT00603577"
2741,"NCT01479907","Synbiotics and Gastrointestinal Function Related Quality of Life After Colectomy for Cancer","Completed","No Results Available","Colorectal Neoplasms","Dietary Supplement: Synbiotics|Dietary Supplement: Placebo","University of Athens","Both","18 Years to 80 Years   (Adult, Senior)","","100","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","SYNBIOTICSCOLON","November 16, 2011","November 2010","September 2015","May 11, 2016","May 2016","No Study Results Posted","null","March 2012","Assessment of gastrointestinal function-related quality of life at 1, 3 and 6 months postoperatively","https://ClinicalTrials.gov/show/NCT01479907"
2742,"NCT00606944","Fast-track Rehabilitation After Elective Colorectal and Small Bowel Resection","Completed","Has Results","Colorectal Tumor","Behavioral: fast-track rehabilitation","Seoul National University Hospital","Both","20 Years to 80 Years   (Adult, Senior)","","200","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","B-0706-046-008|SNUBH-GS-CR1","January 22, 2008","June 2007","September 2011","July 19, 2012","July 2012","July 19, 2012","null","October 2009","the Length of Hospital Stay|Pain|Quality of Life|Postoperative Complication During the First Admission|Recovery|Readmission Rate|Postoperative Complication","https://ClinicalTrials.gov/show/NCT00606944"
2743,"NCT02000089","The Cancer of the Pancreas Screening-5 CAPS5)Study","Recruiting","No Results Available","Pancreas Cancer|Peutz-Jeghers Syndrome|Gene Mutation|Germline Mutation Carrier|Lynch Syndrome","Drug: Human synthetic secretin","Johns Hopkins University|ChiRhoClin, Inc.","Both","18 Years and older   (Adult, Senior)","","2500","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","NA_00087754","November 26, 2013","January 2014","December 2023","September 7, 2016","September 2016","No Study Results Posted","CAPS5","October 2021","Evaluate pancreatic juice for early cancer markers.|Compare pancreas juice with pancreas cyst fluid","https://ClinicalTrials.gov/show/NCT02000089"
2744,"NCT00405587","Safety Study of PLX4032 in Patients With Solid Tumors","Active, not recruiting","No Results Available","Malignant Melanoma|Colorectal Carcinoma","Drug: PLX4032","Plexxikon|Roche Pharma AG","Both","18 Years and older   (Adult, Senior)","Phase 1","75","Industry","Interventional","Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","PLX06-02","November 28, 2006","November 2006","September 2015","June 19, 2015","June 2015","No Study Results Posted","null","August 2015","Safety: subject incidence of adverse events, first-cycle DLTs and clinically significant changes in vital signs, ECGs and clinical laboratory tests|Pharmacodynamic activity in tumor biopsy tissue as assess by paired biopsy (Day 15 vs. Baseline) quantitation of pERK and Ki67","https://ClinicalTrials.gov/show/NCT00405587"
